iter,gMg,gKg,gEuclid2,zMz,zKz,ratio_g,ratio_z,gpMgp,gpKgp,gpEuclid2,ratio_gp,alpha1,alpha2
0,nan,nan,nan,0.00000000e+00,0.00000000e+00,nan,nan,nan,nan,nan,nan,1.00000000e+00,1.00000000e+00
1,9.45355318e-01,6.66770959e+13,1.73113222e+06,7.57010765e-28,2.56907191e-14,7.05312538e+13,3.39370591e+13,9.45355318e-01,6.66770959e+13,1.73113222e+06,7.05312538e+13,1.00000000e+00,1.00000000e+00
2,8.72545028e-01,5.78872625e+13,1.56704099e+06,7.65646507e-28,2.61182640e-14,6.63430088e+13,3.41126927e+13,8.72545028e-01,5.78872625e+13,1.56704099e+06,6.63430088e+13,1.00000000e+00,1.00000000e+00
3,7.80614088e-01,6.47839503e+13,1.51132938e+06,7.66442000e-28,2.61496513e-14,8.29910083e+13,3.41182389e+13,7.80614088e-01,6.47839503e+13,1.51132938e+06,8.29910083e+13,1.00000000e+00,1.00000000e+00
4,4.09786118e-01,3.15119221e+13,7.72362191e+05,7.67014252e-28,2.61734008e-14,7.68984617e+13,3.41237477e+13,4.09786118e-01,3.15119221e+13,7.72362191e+05,7.68984617e+13,1.00000000e+00,1.00000000e+00
5,1.61559543e-01,1.24465770e+13,3.04699102e+05,7.66863475e-28,2.61640275e-14,7.70401844e+13,3.41182341e+13,1.61559543e-01,1.24465770e+13,3.04699102e+05,7.70401844e+13,1.00000000e+00,1.00000000e+00
6,3.13265521e-01,2.40375184e+13,5.90002095e+05,7.67090646e-28,2.61718538e-14,7.67320908e+13,3.41183326e+13,3.13265521e-01,2.40375184e+13,5.90002095e+05,7.67320908e+13,1.00000000e+00,1.00000000e+00
7,2.31614775e-01,1.99399200e+13,4.54467729e+05,7.66999434e-28,2.61668034e-14,8.60908808e+13,3.41158053e+13,2.31614775e-01,1.99399200e+13,4.54467729e+05,8.60908808e+13,1.00000000e+00,1.00000000e+00
8,3.77321642e-01,3.04035631e+13,7.22857780e+05,7.67143097e-28,2.61716730e-14,8.05773106e+13,3.41157642e+13,3.77321642e-01,3.04035631e+13,7.22857780e+05,8.05773106e+13,1.00000000e+00,1.00000000e+00
9,2.16419749e-01,1.70025946e+13,4.10938923e+05,7.67078061e-28,2.61682883e-14,7.85630455e+13,3.41142442e+13,2.16419749e-01,1.70025946e+13,4.10938923e+05,7.85630455e+13,1.00000000e+00,1.00000000e+00
10,3.15818406e-01,2.78024992e+13,6.24853048e+05,7.67186647e-28,2.61719503e-14,8.80331819e+13,3.41141890e+13,3.15818406e-01,2.78024992e+13,6.24853048e+05,8.80331819e+13,1.00000000e+00,1.00000000e+00
11,1.96752758e-01,1.43819370e+13,3.64541614e+05,7.67137198e-28,2.61694647e-14,7.30964951e+13,3.41131479e+13,1.96752758e-01,1.43819370e+13,3.64541614e+05,7.30964951e+13,1.00000000e+00,1.00000000e+00
12,2.74549766e-01,2.19311525e+13,5.24360996e+05,7.67221379e-28,2.61723204e-14,7.98804268e+13,3.41131270e+13,2.74549766e-01,2.19311525e+13,5.24360996e+05,7.98804268e+13,1.00000000e+00,1.00000000e+00
13,2.36322621e-01,1.81519034e+13,4.45243043e+05,7.67182098e-28,2.61704040e-14,7.68098429e+13,3.41123758e+13,2.36322621e-01,1.81519034e+13,4.45243043e+05,7.68098429e+13,1.00000000e+00,1.00000000e+00
